idindicador,cgrnacim,ctrmormt,pbrmivih,pcrparin,pcrperca,pcrrncpn,ptrldeng,rtrmorpu,ttdiesti,ttdnesti
cgrnacim,1.0,0.45820682914901595,-0.8131992802531692,0.2490911445162237,0.25633399127153544,0.3872743891780878,-0.026281536387737097,-0.0038760885072768843,-0.2047595172333882,0.05364403643607043
ctrmormt,0.45820682914901595,1.0,-0.6981896451839563,0.47005030208245047,0.4516396260744514,0.5484936616227484,-0.02702674794858181,0.25483086014667383,-0.49810499374426026,-0.1664014009752076
pbrmivih,-0.8131992802531692,-0.6981896451839563,1.0,-0.6426800559884017,0.022868483374043316,0.31110678114794593,-0.32293805441917384,-0.2403862262256188,-0.08562345326750939,-0.22506212174526943
pcrparin,0.2490911445162237,0.47005030208245047,-0.6426800559884017,1.0,0.966865175753859,0.8222647390361715,0.13705293169388977,0.36538572303364864,-0.6889779983608905,-0.4237669586502945
pcrperca,0.25633399127153544,0.4516396260744514,0.022868483374043316,0.966865175753859,1.0,0.8351433533907439,0.09410344682139138,0.29308695245251937,-0.637426984173669,-0.5797627641159703
pcrrncpn,0.3872743891780878,0.5484936616227484,0.31110678114794593,0.8222647390361715,0.8351433533907439,1.0,0.1253861264162354,0.17122050929969984,-0.8529319899136398,-0.8333246348315446
ptrldeng,-0.026281536387737097,-0.02702674794858181,-0.32293805441917384,0.13705293169388977,0.09410344682139138,0.1253861264162354,1.0,-0.0449384810337549,-0.14197363311220298,0.06560099780059925
rtrmorpu,-0.0038760885072768843,0.25483086014667383,-0.2403862262256188,0.36538572303364864,0.29308695245251937,0.17122050929969984,-0.0449384810337549,1.0,-0.12321854268790303,0.5388522467786446
ttdiesti,-0.2047595172333882,-0.49810499374426026,-0.08562345326750939,-0.6889779983608905,-0.637426984173669,-0.8529319899136398,-0.14197363311220298,-0.12321854268790303,1.0,0.9056825562504622
ttdnesti,0.05364403643607043,-0.1664014009752076,-0.22506212174526943,-0.4237669586502945,-0.5797627641159703,-0.8333246348315446,0.06560099780059925,0.5388522467786446,0.9056825562504622,1.0
