,iddepto,value
5780,17.0,25.15
5781,30.0,12.67
5782,27.0,16.0
5783,10.0,27.24541464
5784,2.0,27.95
5785,29.0,28.15
5786,14.0,19.87
5787,27.0,14.61237122
5788,14.0,21.82
5789,9.0,25.38
5790,27.0,23.5
5791,6.0,15.49
5792,21.0,36.47
5793,6.0,21.22
5794,19.0,31.5
5795,7.0,25.04
5796,12.0,23.4
5797,30.0,13.76
5798,2.0,15.36
5799,2.0,12.11
5800,27.0,14.19
5801,25.0,29.64
5802,,29.44
5803,30.0,13.51
5804,9.0,25.18
5805,20.0,26.64
5806,13.0,38.61
5807,14.0,12.13
5808,7.0,25.11
5809,12.0,25.4
5810,6.0,11.73
5811,6.0,30.08
5812,14.0,19.85
5813,,11.88
5814,14.0,17.45
5815,7.0,20.71
5816,18.0,27.34
5817,19.0,39.04
5818,9.0,38.13
5819,5.0,27.34
5820,,18.39
5821,19.0,17.94
5822,18.0,18.72
5823,,17.52
5824,23.0,18.02
5825,17.0,18.14
5826,6.0,20.16
5827,6.0,18.14
5828,21.0,14.79
5829,2.0,18.57
5830,5.0,15.93
5831,30.0,17.0
5832,14.0,20.18
5833,14.0,29.55
5834,21.0,27.25
5835,7.0,30.29
5836,29.0,27.07
5837,30.0,13.28
5838,5.0,28.44
5839,6.0,15.5
5840,27.0,23.06
5841,11.0,30.19
5842,6.0,19.48
5843,5.0,27.92
5844,27.0,19.63
5845,21.0,19.15
5846,6.0,14.14
5847,2.0,14.95
5848,1.0,51.39
5849,,16.0
5850,6.0,32.94
5851,14.0,13.92
5852,21.0,19.39
5853,2.0,17.48
5854,29.0,15.88
5855,24.0,10.83
5856,14.0,12.14
5857,30.0,18.1
5858,28.0,16.54
5859,11.0,25.8
5860,27.0,32.47
5861,10.0,23.25
5862,29.0,23.86
5863,6.0,22.25
5864,19.0,19.24
5865,13.0,36.09
5866,27.0,11.69
5867,28.0,24.72
5868,32.0,36.45090071
5869,19.0,14.29
5870,2.0,23.53
5871,30.0,14.98
5872,12.0,34.84
5873,,13.27
5874,30.0,12.9
5875,14.0,12.14
5876,8.0,16.99
5877,6.0,34.5
5878,17.0,18.32
5879,6.0,25.51
5880,27.0,18.46
5881,14.0,19.26
5882,27.0,11.19
5883,16.0,32.99
5884,14.0,15.58
5885,30.0,14.32
5886,21.0,39.24
5887,12.0,20.98
5888,6.0,15.92
5889,6.0,16.52
5890,2.0,34.05
5891,14.0,19.97
5892,30.0,12.66
5893,28.0,26.81
5894,27.0,23.14
5895,14.0,11.51
5896,12.0,19.84
5897,21.0,20.31
5898,2.0,21.73
5899,30.0,13.59
5900,21.0,22.14
5901,2.0,18.76
5902,4.0,15.41
5903,7.0,25.48247773
5904,27.0,19.33
5905,14.0,18.77
5906,14.0,17.05
5907,27.0,20.61
5908,5.0,25.23
5909,12.0,26.48
5910,27.0,20.48
5911,2.0,7.6
5912,6.0,20.6
5913,14.0,14.15422801
5914,10.0,24.99
5915,17.0,17.52
5916,21.0,24.92
5917,19.0,18.46
5918,4.0,19.89
5919,18.0,54.38
5920,2.0,17.31
5921,6.0,13.81
5922,14.0,24.98
5923,2.0,16.21
5924,19.0,14.84
5925,21.0,20.67
5926,12.0,23.94
5927,30.0,13.81
5928,18.0,13.46
5929,17.0,18.45
5930,2.0,9.8
5931,19.0,32.88
5932,2.0,19.59
5933,13.0,43.93132688
5934,27.0,16.85
5935,25.0,16.47
5936,9.0,28.38
5937,20.0,21.95
5938,20.0,61.35
5939,21.0,32.08
5940,29.0,22.88
5941,13.0,29.44
5942,13.0,60.96
5943,32.0,44.42
5944,17.0,23.27
5945,27.0,19.02
5946,29.0,25.88
5947,14.0,14.25
5948,9.0,19.71
