"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"1","ttdiesti",17,"huila",635,"oporapa",2005,28.29
"2","ttdiesti",30,"valle del cauca",1032,"jamundi",2005,14.9
"3","ttdiesti",27,"santander",871,"charta",2005,18.82
"4","caelacex",12,"cesar",NA,NA,2005,NA
"5","ttdiesti",10,"casanare",NA,NA,2005,29.43755402
"6","pcrparin",6,"boyaca",218,"chita",2005,90
"7","pcrparin",22,"norte de santander",799,"pamplonita",2005,91.78
"8","ttdiesti",2,"antioquia",67,"ituango",2005,31.44
"9","pcrparin",27,"santander",935,"surata",2005,66.67
"10","ttdiesti",29,"tolima",102,"san luis",2005,28.15
"11","pcrparin",2,"antioquia",79,"mutata",2005,96.57
"12","ttdiesti",14,"cundinamarca",549,"nilo",2005,22.66
"13","pcrparin",6,"boyaca",219,"chitaraque",2005,87.07
"14","ctrmormt",18,"la guajira",NA,NA,2005,15
"15","pcrparin",21,"narino",747,"magui",2005,98.57
"16","pcrparin",10,"casanare",389,"chameza",2005,100
"17","ttdiesti",27,"santander",NA,NA,2005,17.08652819
"18","ttdiesti",14,"cundinamarca",534,"jerusalen",2005,24.54
"19","pcrparin",27,"santander",348,"aguadas",2005,80.95
"20","pcrparin",14,"cundinamarca",NA,NA,2005,98.94988998
"21","pcrparin",2,"antioquia",54,"envigado",2005,100
"22","ttdiesti",9,"caqueta",378,"el paujil",2005,28.55
"23","ttdiesti",27,"santander",911,"onzaga",2005,23.5
"24","rtrmorpu",15,"guainia",NA,NA,2005,386.1
"25","ttdiesti",6,"boyaca",213,"cerinza",2005,19.37
"26","ttdiesti",21,"narino",727,"el charco",2005,36.47
"27","ttdiesti",6,"boyaca",235,"gachantiva",2005,26.53
"28","ttdiesti",19,"magdalena",NA,"nueva granada",2005,38.91
"29","rtrmorpu",16,"guaviare",NA,NA,2005,171.23
"30","pcrparin",2,"antioquia",NA,"el penol",2005,98.76
"31","pcrparin",7,"cordoba",346,"tierralta",2005,82.9
"32","ttdiesti",7,"cordoba",325,"cerete",2005,28.17
"33","ttdiesti",12,"cesar",458,"la jagua de ibirico",2005,24.78
"34","pcrparin",14,"cundinamarca",80,"narino",2005,100
"35","pcrparin",28,"sucre",208,"buenavista",2005,99.43
"36","pbepredc",7,"cordoba",NA,NA,2005,15
"37","ttdiesti",30,"valle del cauca",1013,"andalucia",2005,16.18
"38","pcrparin",19,"magdalena",NA,NA,2005,98.2275586
"39","pbepredc",21,"narino",NA,NA,2005,20
"40","pcrparin",17,"huila",642,"saladoblanco",2005,68.67
"41","pcrparin",4,"atlantico",140,"baranoa",2005,98.15
"42","ptrldeng",9,"caqueta",NA,NA,2005,NA
"43","pcrparin",19,"magdalena",669,"el pinon",2005,98.11
"44","ttdiesti",2,"antioquia",63,"guatape",2005,17.16
"45","pbretaia",24,"quindio",NA,NA,2005,NA
"46","ttdiesti",2,"antioquia",62,"guarne",2005,12.82
"47","pcrparin",2,"antioquia",117,"tarso",2005,92.22
"48","ttdiesti",27,"santander",860,"barrancabermeja",2005,16.69
"49","pbretaia",4,"atlantico",NA,NA,2005,NA
"50","ttdiesti",25,"risaralda",848,"pueblo rico",2005,29.64
"51","pcrparin",24,"quindio",835,"pijao",2005,98.95
"52","ctrmormt",31,"vaupes",NA,NA,2005,0
"53","pcrparin",6,"boyaca",256,"nobsa",2005,99.57
"54","pcrparin",6,"boyaca",250,"miraflores",2005,97.89
"55","pcrperca",3,"arauca",NA,NA,2005,79.38225457
"56","ttdiesti",22,"norte de santander",812,"villa caro",2005,29.44
"57","pbehtaco",13,"choco",NA,NA,2005,NA
"58","ttdiesti",30,"valle del cauca",1020,"calima",2005,15.9
"59","pcrparin",6,"boyaca",202,"belen",2005,98.53
"60","pcrparin",27,"santander",927,"san miguel",2005,97.92
"61","ttdiesti",9,"caqueta",NA,"solita",2005,28.33
"62","igrtgfec",30,"valle del cauca",NA,NA,2005,NA
"63","pbrmivih",8,"caldas",NA,NA,2005,NA
"64","ttdiesti",20,"meta",684,"barranca de upia",2005,28.88
"65","ttdiesti",13,"choco",472,"bahia solano",2005,38.61
"66","ttdiesti",14,"cundinamarca",604,"zipaquira",2005,13.65
"67","pcrparin",20,"meta",694,"la macarena",2005,99.3
"68","pcrparin",7,"cordoba",337,"puerto libertador",2005,97.77
"69","ttdnesti",19,"magdalena",NA,NA,2005,40.59079022
"70","ttdiesti",7,"cordoba",NA,"san jose de ure (1)",2005,28.24
"71","ttdiesti",12,"cesar",459,"la paz",2005,28.58
"72","ttdiesti",6,"boyaca",216,"chiquinquira",2005,14.66
"73","ttdiesti",6,"boyaca",266,"paya",2005,30.08
"74","pcrparin",12,"cesar",445,"aguachica",2005,91.31
"75","ttdiesti",14,"cundinamarca",571,"sibate",2005,19.85
"76","ctrmormt",16,"guaviare",NA,NA,2005,3
"77","ttdiesti",22,"norte de santander",565,"san cayetano",2005,13.36
"78","ttdiesti",14,"cundinamarca",506,"chaguani",2005,18.48
"79","pcrparin",10,"casanare",406,"yopal",2005,99.53
"80","ttdiesti",7,"cordoba",NA,"sahagun",2005,23.3
"81","ttdiesti",18,"la guajira",653,"barrancas",2005,30.92
"82","ttdiesti",19,"magdalena",682,"tenerife",2005,39.04
"83","ttdiesti",9,"caqueta",386,"solano",2005,44.21
"84","pcrparin",1,"amazonas",6,"puerto narino",2005,63.04
"85","ttdiesti",5,"bolivar",177,"margarita",2005,30.76
"86","ttdiesti",22,"norte de santander",781,"chitaga",2005,20.68
"87","ttdiesti",19,"magdalena",671,"guamal",2005,20.18
"88","ttdiesti",18,"la guajira",655,"fonseca",2005,23.4
"89","pcrparin",11,"cauca",934,"sucre",2005,80.58
"90","ttdiesti",22,"norte de santander",785,"el carmen",2005,19.71
"91","pcrparin",14,"cundinamarca",509,"choconta",2005,99.08
"92","pcrparin",9,"caqueta",382,"morelia",2005,94.03
"93","pcrparin",22,"norte de santander",783,"cucutilla",2005,85.98
"94","rgrtgfec",11,"cauca",NA,NA,2005,NA
"95","pcrrncpn",31,"vaupes",NA,NA,2005,43.47
"96","ttdiesti",23,"putumayo",NA,"mocoa",2005,20.27
"97","ttdiesti",17,"huila",625,"garzon",2005,20.41
"98","ttdiesti",6,"boyaca",264,"panqueba",2005,25.19
"99","pcrparin",6,"boyaca",249,"maripi",2005,96.43
"100","ttdiesti",6,"boyaca",199,"almeida",2005,21.34
"101","pbepredc",4,"atlantico",NA,NA,2005,9.8
"102","cgrnacim",10,"casanare",NA,NA,2005,5083
"103","pcrparin",29,"tolima",981,"falan",2005,82.67
"104","pcrparin",19,"magdalena",222,"cienaga",2005,99.79
"105","pcrparin",11,"cauca",191,"santa rosa",2005,90.91
"106","pcrparin",6,"boyaca",229,"duitama",2005,99.83
"107","pcrparin",7,"cordoba",328,"cienaga de oro",2005,99.49
"108","ttdiesti",21,"narino",759,"samaniego",2005,15.66
"109","pcrparin",21,"narino",564,"san bernardo",2005,97.12
"110","pcrparin",9,"caqueta",384,"san jose del fragua",2005,80.43
"111","ctrmormt",7,"cordoba",NA,NA,2005,7
"112","ttdiesti",2,"antioquia",113,"sonson",2005,20.89
"113","pcrparin",30,"valle del cauca",143,"candelaria",2005,98.89
"114","ttdiesti",5,"bolivar",188,"san pablo",2005,17.92
"115","ttdiesti",30,"valle del cauca",21,"argelia",2005,20
"116","pcrparin",14,"cundinamarca",514,"el penon",2005,98.28
"117","rgrtgfec",8,"caldas",NA,NA,2005,NA
"118","pbepredc",26,"san andres y providencia",NA,NA,2005,NA
"119","ttdiesti",14,"cundinamarca",565,"san cayetano",2005,21.37
"120","ttdiesti",14,"cundinamarca",503,"caparrapi",2005,29.55
"121","pcrparin",19,"magdalena",45,"concordia",2005,97.3
"122","ttdiesti",21,"narino",546,"mosquera",2005,30.66
"123","pcrparin",6,"boyaca",278,"san eduardo",2005,100
"124","pcrparin",27,"santander",874,"cimitarra",2005,81.84
"125","ttdiesti",7,"cordoba",337,"puerto libertador",2005,31.41
"126","ttdiesti",29,"tolima",978,"cunday",2005,27.07
"127","ttdiesti",30,"valle del cauca",1047,"tulua",2005,15.62
"128","pbepredc",6,"boyaca",NA,NA,2005,23.3
"129","pcrparin",29,"tolima",991,"melgar",2005,98.03
"130","pcrparin",11,"cauca",430,"piendamo",2005,96.5
"131","ttdiesti",5,"bolivar",195,"turbaco",2005,28.44
"132","ttdiesti",6,"boyaca",310,"topaga",2005,19.37
"133","pcrparin",29,"tolima",980,"espinal",2005,96.68
"134","ttdiesti",27,"santander",935,"surata",2005,27.13
"135","pcrparin",2,"antioquia",35,"campamento",2005,80.61
"136","pcrparin",10,"casanare",390,"hato corozal",2005,77.21
"137","ttdiesti",11,"cauca",411,"buenos aires",2005,33.96
"138","ttdiesti",6,"boyaca",221,"chivor",2005,19.48
"139","ttdiesti",5,"bolivar",191,"santa rosa",2005,31.4
"140","pcrparin",5,"bolivar",189,"santa catalina",2005,98.42
"141","ttdiesti",27,"santander",108,"santa barbara",2005,23.09
"142","pcrparin",18,"la guajira",661,"urumita",2005,84.38
"143","pcrparin",6,"boyaca",261,"pachavita",2005,93.75
"144","ttdiesti",21,"narino",734,"guaitarilla",2005,20.28
"145","ttdiesti",6,"boyaca",287,"santana",2005,16.63
"146","ttdiesti",2,"antioquia",118,"titiribi",2005,15.83
"147","ttdiesti",1,"amazonas",NA,"la chorrera ",2005,51.39
"148","ttdiesti",22,"norte de santander",774,"abrego",2005,18
"149","pcrparin",7,"cordoba",339,"san andres de sotavento",2005,98.16
"150","ttdiesti",6,"boyaca",225,"covarachia",2005,41.18
"151","pcrparin",10,"casanare",397,"pore",2005,97.24
"152","ttdiesti",14,"cundinamarca",572,"silvania",2005,14.73
"153","ttdiesti",21,"narino",NA,"la union",2005,21.82
"154","pcrparin",6,"boyaca",214,"chiquiza",2005,94.57
"155","pcrparin",24,"quindio",830,"circasia",2005,99.09
"156","ttdiesti",2,"antioquia",102,"san luis",2005,18.51
"157","pcrparin",6,"boyaca",297,"sora",2005,94.34
"158","ttdiesti",29,"tolima",1002,"saldana",2005,16.88
"159","pcrparin",8,"caldas",370,"victoria",2005,92.31
"160","cgrnacim",7,"cordoba",NA,NA,2005,20418
"161","ttdiesti",24,"quindio",22,"armenia",2005,12.74
"162","ttdiesti",14,"cundinamarca",564,"san bernardo",2005,12.85
"163","pcrparin",22,"norte de santander",794,"los patios",2005,99.42
"164","pbrmivih",11,"cauca",NA,NA,2005,NA
"165","ttdiesti",30,"valle del cauca",1049,"versalles",2005,18.11
"166","pcrparin",8,"caldas",364,"pensilvania",2005,97.43
"167","pcrparin",22,"norte de santander",779,"cacota",2005,100
"168","ttdiesti",28,"sucre",946,"corozal",2005,18.61
"169","pcrparin",29,"tolima",1010,"villahermosa",2005,93.79
"170","pcrparin",27,"santander",878,"coromoro",2005,86.54
"171","pcrparin",2,"antioquia",56,"frontino",2005,86.47
"172","ttdiesti",11,"cauca",438,"silvia",2005,29.03
"173","pcrparin",7,"cordoba",NA,"sahagun",2005,99.04
"174","pcrparin",23,"putumayo",98,"san francisco",2005,95.79
"175","pcrparin",30,"valle del cauca",1046,"trujillo",2005,100
"176","ttdiesti",27,"santander",514,"el penon",2005,40.59
"177","pbretaia",26,"san andres y providencia",NA,NA,2005,NA
"178","pcrparin",6,"boyaca",252,"mongui",2005,94.67
"179","pcrparin",14,"cundinamarca",549,"nilo",2005,99
"180","ttdiesti",10,"casanare",393,"monterrey",2005,26.16
"181","ttdiesti",29,"tolima",979,"dolores",2005,25.36
"182","ttdiesti",6,"boyaca",210,"combita",2005,26.17
"183","ttdiesti",19,"magdalena",NA,"el reten",2005,21.64
"184","pcrparin",1,"amazonas",1,"el encanto",2005,33.33
"185","ttdiesti",13,"choco",478,"el litoral del san juan",2005,45.11
"186","ttdiesti",27,"santander",891,"giron",2005,13.75
"187","pcrparin",14,"cundinamarca",531,"guayabal de siquima",2005,98.59
"188","caelacex",8,"caldas",NA,NA,2005,NA
"189","pcrparin",7,"cordoba",336,"puerto escondido",2005,98.83
"190","ttdiesti",28,"sucre",945,"coloso",2005,27.82
"191","ttdiesti",32,"vichada",NA,NA,2005,41.62615531
"192","pcrparin",1,"amazonas",5,"miriti-parana",2005,100
"193","pcrparin",5,"bolivar",177,"margarita",2005,89.38
"194","ttdiesti",19,"magdalena",NA,"santa marta",2005,16.07
"195","ttdiesti",2,"antioquia",61,"guadalupe",2005,25.68
"196","ttdiesti",30,"valle del cauca",1051,"yotoco",2005,18.72
"197","pcrperca",26,"san andres y providencia",NA,NA,2005,99.59100204
"198","ttdiesti",12,"cesar",447,"astrea",2005,34.84
"199","ttdiesti",22,"norte de santander",775,"arboledas",2005,14.93
"200","ttdiesti",30,"valle del cauca",1041,"roldanillo",2005,15.17
"201","pcrparin",29,"tolima",989,"lerida",2005,99.42
"202","pcrparin",27,"santander",918,"puerto parra",2005,88
"203","ttdiesti",14,"cundinamarca",519,"funza",2005,12.85
"204","ttdiesti",8,"caldas",350,"aranzazu",2005,21.24
"205","ttdiesti",6,"boyaca",300,"sutamarchan",2005,34.5
"206","ttdiesti",17,"huila",650,"timana",2005,20.61
