consecutivo,idindicador,nomindicador,idunidad,nomunidad,iddepto,nomdepto,idmpio,nommpio,idregion,nomregion,idsubregion,nomsubregion,idregimen,nomregimen,ideps,nomeps,idips,nomips,idzona,nomzona,ideducacion,nomeducacion,idocupacion,nomocupacion,idedad,nomedad,idestadocivil,nomestadocivil,idsexo,nomsexo,idetnia,nometnia,yea1990,yea1991,yea1992,yea1993,yea1994,yea1995,yea1996,yea1997,yea1998,yea1999,yea2000,yea2001,yea2002,yea2003,yea2004,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010,yea2011,yea2012,fue1990,fue1991,fue1992,fue1993,fue1994,fue1995,fue1996,fue1997,fue1998,fue1999,fue2000,fue2001,fue2002,fue2003,fue2004,fue2005,fue2006,fue2007,fue2008,fue2009,fue2010,fue2011,fue2012,obs1990,obs1991,obs1992,obs1993,obs1994,obs1995,obs1996,obs1997,obs1998,obs1999,obs2000,obs2001,obs2002,obs2003,obs2004,obs2005,obs2006,obs2007,obs2008,obs2009,obs2010,obs2011,obs2012
2370,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,17,huila,635,oporapa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.29,27.66,27.03,26.4,25.78,25.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANE,DANE,DANE,DANE,DANE,DANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1745,ctrmormt,Mortalidad materna a 42 días,17,Personas,NA,extranjeros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANE,DANE,DANE,DANE,DANE,DANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2773,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,30,valle del cauca,NA,jamundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,14.46,14.01,13.56,13.11,12.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANE,DANE,DANE,DANE,DANE,DANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2608,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,27,santander,871,charta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.82,18.26,17.7,17.13,16.57,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANE,DANE,DANE,DANE,DANE,DANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225,caelacex,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,12,cesar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSIN,NA,NA,NA,NA,ENSIN,NA,NA,NA,NA,ENSIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1649,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,10,casanare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.43755402,29.00060793,28.56311117,28.12497557,27.68468691,27.24541464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANE,DANE,DANE,DANE,DANE,DANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,pcrparin,Porcentaje partos institucionales,1,por 100 (%),6,boyaca,218,chita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,89.4,84.67,87.07,92.09,93.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,pcrparin,Porcentaje partos institucionales,1,por 100 (%),22,norte de santander,799,pamplonita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.78,88.61,90.41,95.45,97.67,96.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1806,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,2,antioquia,67,ituango,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.44,30.75,30.05,29.35,28.65,27.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANE,DANE,DANE,DANE,DANE,DANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,pcrparin,Porcentaje partos institucionales,1,por 100 (%),27,santander,NA,surata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,82.61,86.96,88.64,85.11,91.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
