"";"idindicador";"iddepto";"nomdepto";"idmpio";"nommpio";"year";"idindicador"
"1";"ttdiesti";41;"huila";41503;"oporapa";"2005";28,29
"2";"ctrmormt";75;"extranjeros";NA;NA;"2005";1
"3";"ttdiesti";76;"valle del cauca";76364;"jamundi";"2005";14,9
"4";"ttdiesti";68;"santander";68169;"charta";"2005";18,82
"5";"caelacex";20;"cesar";NA;NA;"2005";NA
"6";"ttdiesti";85;"casanare";NA;NA;"2005";29,43755402
"7";"pcrparin";15;"boyaca";15183;"chita";"2005";90
"8";"pcrparin";54;"n.santander";54520;"pamplonita";"2005";91,78
"9";"ttdiesti";5;"antioquia";5361;"ituango";"2005";31,44
"10";"pcrparin";68;"santander";68780;"surata";"2005";66,67
"11";"ttdiesti";73;"tolima";73678;"san luis";"2005";28,15
"12";"pcrparin";5;"antioquia";5480;"mutata";"2005";96,57
"13";"ttdiesti";25;"cundinamarca";25488;"nilo";"2005";22,66
"14";"pcrparin";15;"boyaca";15185;"chitaraque";"2005";87,07
"15";"ctrmormt";44;"la guajira";NA;NA;"2005";15
"16";"pcrparin";52;"narino";52427;"magui";"2005";98,57
"17";"pcrparin";85;"casanare";85015;"chameza";"2005";100
"18";"ttdiesti";68;"santander";NA;NA;"2005";17,08652819
"19";"ttdiesti";25;"cundinamarca";25368;"jerusalen";"2005";24,54
"20";"pcrparin";68;"santander";68013;"aguadas";"2005";80,95
"21";"pcrparin";25;"cundinamarca";NA;NA;"2005";98,94988998
"22";"pcrparin";5;"antioquia";5266;"envigado";"2005";100
"23";"ttdiesti";18;"caqueta";18256;"el paujil";"2005";28,55
"24";"ttdiesti";68;"santander";68502;"onzaga";"2005";23,5
"25";"rtrmorpu";94;"guainia";NA;NA;"2005";386,1
"26";"ttdiesti";15;"boyaca";15162;"cerinza";"2005";19,37
"27";"ttdiesti";52;"narino";52250;"el charco";"2005";36,47
"28";"ttdiesti";15;"boyaca";15293;"gachantiva";"2005";26,53
"29";"ttdiesti";47;"magdalena";47460;"nueva granada";"2005";38,91
"30";"rtrmorpu";95;"guaviare";NA;NA;"2005";171,23
"31";"pcrparin";5;"antioquia";52254;"el penol";"2005";98,76
"32";"pcrparin";23;"cordoba";23807;"tierralta";"2005";82,9
"33";"ttdiesti";23;"cordoba";23162;"cerete";"2005";28,17
"34";"ttdiesti";20;"cesar";20400;"la jagua de ibirico";"2005";24,78
"35";"pcrparin";25;"cundinamarca";25483;"narino";"2005";100
"36";"pcrparin";70;"sucre";70110;"buenavista";"2005";99,43
"37";"pbepredc";23;"cordoba";NA;NA;"2005";15
"38";"ttdiesti";76;"valle del cauca";76036;"andalucia";"2005";16,18
"39";"pcrparin";47;"magdalena";NA;NA;"2005";98,2275586
"40";"pbepredc";52;"narino";NA;NA;"2005";20
"41";"pcrparin";41;"huila";41660;"saladoblanco";"2005";68,67
"42";"pcrparin";8;"atlantico";8078;"baranoa";"2005";98,15
"43";"ptrldeng";18;"caqueta";NA;NA;"2005";NA
"44";"pcrparin";47;"magdalena";47258;"el pinon";"2005";98,11
"45";"ttdiesti";5;"antioquia";5321;"guatape";"2005";17,16
"46";"pbretaia";63;"quindio";NA;NA;"2005";NA
"47";"ttdiesti";5;"antioquia";5318;"guarne";"2005";12,82
"48";"pcrparin";5;"antioquia";5792;"tarso";"2005";92,22
"49";"ttdiesti";68;"santander";68081;"barrancabermeja";"2005";16,69
"50";"pbretaia";8;"atlantico";NA;NA;"2005";NA
"51";"ttdiesti";66;"risaralda";66572;"pueblo rico";"2005";29,64
"52";"pcrparin";63;"quindio";63548;"pijao";"2005";98,95
"53";"ctrmormt";97;"vaupes";NA;NA;"2005";0
"54";"pcrparin";15;"boyaca";15491;"nobsa";"2005";99,57
"55";"pcrparin";15;"boyaca";15455;"miraflores";"2005";97,89
"56";"pcrperca";81;"arauca";NA;NA;"2005";79,38225457
"57";"ttdiesti";54;"n.santander";54871;"villa caro";"2005";29,44
"58";"pbehtaco";27;"choco";NA;NA;"2005";NA
"59";"ttdiesti";76;"valle del cauca";76126;"calima";"2005";15,9
"60";"pcrparin";15;"boyaca";15087;"belen";"2005";98,53
"61";"pcrparin";68;"santander";68686;"san miguel";"2005";97,92
"62";"ttdiesti";18;"caqueta";18785;"solita";"2005";28,33
"63";"igrtgfec";76;"valle del cauca";NA;NA;"2005";NA
"64";"pbrmivih";17;"caldas";NA;NA;"2005";NA
"65";"ttdiesti";50;"meta";50110;"barranca de upia";"2005";28,88
"66";"ttdiesti";27;"choco";27075;"bahia solano";"2005";38,61
"67";"ttdiesti";25;"cundinamarca";25899;"zipaquira";"2005";13,65
"68";"pcrparin";50;"meta";50350;"la macarena";"2005";99,3
"69";"pcrparin";23;"cordoba";23580;"puerto libertador";"2005";97,77
"70";"ttdnesti";47;"magdalena";NA;NA;"2005";40,59079022
"71";"ttdiesti";23;"cordoba";23682;"san jose de ure (1)";"2005";28,24
"72";"ttdiesti";20;"cesar";20621;"la paz";"2005";28,58
"73";"ttdiesti";15;"boyaca";15176;"chiquinquira";"2005";14,66
"74";"ttdiesti";15;"boyaca";15533;"paya";"2005";30,08
"75";"pcrparin";20;"cesar";20011;"aguachica";"2005";91,31
"76";"ttdiesti";25;"cundinamarca";25740;"sibate";"2005";19,85
"77";"ctrmormt";95;"guaviare";NA;NA;"2005";3
"78";"ttdiesti";54;"n.santander";54673;"san cayetano";"2005";13,36
"79";"ttdiesti";25;"cundinamarca";25168;"chaguani";"2005";18,48
"80";"pcrparin";85;"casanare";85001;"yopal";"2005";99,53
"81";"ttdiesti";23;"cordoba";23660;"sahagun";"2005";23,3
"82";"ttdiesti";44;"la guajira";44078;"barrancas";"2005";30,92
"83";"ttdiesti";47;"magdalena";47798;"tenerife";"2005";39,04
"84";"ttdiesti";18;"caqueta";18756;"solano";"2005";44,21
"85";"pcrparin";91;"amazonas";91540;"puerto narino";"2005";63,04
"86";"ttdiesti";13;"bolivar";13440;"margarita";"2005";30,76
"87";"ttdiesti";54;"n.santander";54174;"chitaga";"2005";20,68
"88";"ttdiesti";47;"magdalena";47318;"guamal";"2005";20,18
"89";"ttdiesti";44;"la guajira";44279;"fonseca";"2005";23,4
"90";"pcrparin";19;"cauca";19785;"sucre";"2005";80,58
"91";"ttdiesti";54;"n.santander";54245;"el carmen";"2005";19,71
"92";"pcrparin";25;"cundinamarca";25183;"choconta";"2005";99,08
"93";"pcrparin";18;"caqueta";18479;"morelia";"2005";94,03
"94";"pcrparin";54;"n.santander";54223;"cucutilla";"2005";85,98
"95";"rgrtgfec";19;"cauca";NA;NA;"2005";NA
"96";"pcrrncpn";97;"vaupes";NA;NA;"2005";43,47
"97";"ttdiesti";86;"putumayo";86001;"mocoa";"2005";20,27
"98";"ttdiesti";41;"huila";41298;"garzon";"2005";20,41
"99";"ttdiesti";15;"boyaca";15522;"panqueba";"2005";25,19
"100";"pcrparin";15;"boyaca";15442;"maripi";"2005";96,43
"101";"ttdiesti";15;"boyaca";15022;"almeida";"2005";21,34
"102";"pbepredc";8;"atlantico";NA;NA;"2005";9,8
"103";"cgrnacim";85;"casanare";NA;NA;"2005";5083
"104";"pcrparin";73;"tolima";73270;"falan";"2005";82,67
"105";"pcrparin";47;"magdalena";47189;"cienaga";"2005";99,79
"106";"pcrparin";19;"cauca";19701;"santa rosa";"2005";90,91
"107";"pcrparin";15;"boyaca";15238;"duitama";"2005";99,83
"108";"pcrparin";23;"cordoba";23189;"cienaga de oro";"2005";99,49
"109";"ttdiesti";52;"narino";52678;"samaniego";"2005";15,66
"110";"pcrparin";52;"narino";52685;"san bernardo";"2005";97,12
"111";"pcrparin";18;"caqueta";18610;"san jose del fragua";"2005";80,43
"112";"ctrmormt";23;"cordoba";NA;NA;"2005";7
"113";"ttdiesti";5;"antioquia";5756;"sonson";"2005";20,89
"114";"pcrparin";76;"valle del cauca";76130;"candelaria";"2005";98,89
"115";"ttdiesti";13;"bolivar";13670;"san pablo";"2005";17,92
"116";"ttdiesti";76;"valle del cauca";76054;"argelia";"2005";20
"117";"pcrparin";25;"cundinamarca";25258;"el penon";"2005";98,28
"118";"rgrtgfec";17;"caldas";NA;NA;"2005";NA
"119";"pbepredc";88;"san andres";NA;NA;"2005";NA
"120";"ttdiesti";25;"cundinamarca";25653;"san cayetano";"2005";21,37
"121";"ttdiesti";25;"cundinamarca";25148;"caparrapi";"2005";29,55
"122";"pcrparin";47;"magdalena";47205;"concordia";"2005";97,3
"123";"ttdiesti";52;"narino";52473;"mosquera";"2005";30,66
"124";"pcrparin";15;"boyaca";15660;"san eduardo";"2005";100
"125";"pcrparin";68;"santander";68190;"cimitarra";"2005";81,84
"126";"ttdiesti";23;"cordoba";23580;"puerto libertador";"2005";31,41
"127";"ttdiesti";73;"tolima";73226;"cunday";"2005";27,07
"128";"ttdiesti";76;"valle del cauca";76834;"tulua";"2005";15,62
"129";"pbepredc";15;"boyaca";NA;NA;"2005";23,3
"130";"pcrparin";73;"tolima";73449;"melgar";"2005";98,03
"131";"pcrparin";19;"cauca";19548;"piendamo";"2005";96,5
"132";"ttdiesti";13;"bolivar";13836;"turbaco";"2005";28,44
"133";"ttdiesti";15;"boyaca";15820;"topaga";"2005";19,37
"134";"pcrparin";73;"tolima";73268;"espinal";"2005";96,68
"135";"ttdiesti";68;"santander";68780;"surata";"2005";27,13
"136";"pcrparin";5;"antioquia";5134;"campamento";"2005";80,61
"137";"pcrparin";85;"casanare";85125;"hato corozal";"2005";77,21
"138";"ttdiesti";19;"cauca";19110;"buenos aires";"2005";33,96
"139";"ttdiesti";15;"boyaca";15236;"chivor";"2005";19,48
"140";"ttdiesti";13;"bolivar";13683;"santa rosa";"2005";31,4
"141";"pcrparin";13;"bolivar";13673;"santa catalina";"2005";98,42
"142";"ttdiesti";68;"santander";68705;"santa barbara";"2005";23,09
"143";"pcrparin";44;"la guajira";44855;"urumita";"2005";84,38
"144";"pcrparin";15;"boyaca";15511;"pachavita";"2005";93,75
"145";"ttdiesti";52;"narino";52320;"guaitarilla";"2005";20,28
"146";"ttdiesti";15;"boyaca";15686;"santana";"2005";16,63
"147";"ttdiesti";5;"antioquia";5809;"titiribi";"2005";15,83
"148";"ttdiesti";91;"amazonas";91405;"la chorrera *";"2005";51,39
"149";"ttdiesti";54;"n.santander";54003;"abrego";"2005";18
"150";"pcrparin";23;"cordoba";23670;"san andres de sotavento";"2005";98,16
"151";"ttdiesti";15;"boyaca";15218;"covarachia";"2005";41,18
"152";"pcrparin";85;"casanare";85263;"pore";"2005";97,24
"153";"ttdiesti";25;"cundinamarca";25743;"silvania";"2005";14,73
"154";"ttdiesti";52;"narino";52399;"la union";"2005";21,82
"155";"pcrparin";15;"boyaca";15232;"chiquiza";"2005";94,57
"156";"pcrparin";63;"quindio";63190;"circasia";"2005";99,09
"157";"ttdiesti";5;"antioquia";5660;"san luis";"2005";18,51
"158";"pcrparin";15;"boyaca";15762;"sora";"2005";94,34
"159";"ttdiesti";73;"tolima";73671;"saldana";"2005";16,88
"160";"pcrparin";17;"caldas";17867;"victoria";"2005";92,31
"161";"cgrnacim";23;"cordoba";NA;NA;"2005";20418
"162";"ttdiesti";63;"quindio";63001;"armenia";"2005";12,74
"163";"ttdiesti";25;"cundinamarca";25649;"san bernardo";"2005";12,85
"164";"pcrparin";54;"n.santander";54405;"los patios";"2005";99,42
"165";"pbrmivih";19;"cauca";NA;NA;"2005";NA
"166";"ttdiesti";76;"valle del cauca";76863;"versalles";"2005";18,11
"167";"pcrparin";17;"caldas";17541;"pensilvania";"2005";97,43
"168";"pcrparin";54;"n.santander";54125;"cacota";"2005";100
"169";"ttdiesti";70;"sucre";70215;"corozal";"2005";18,61
"170";"pcrparin";73;"tolima";73870;"villahermosa";"2005";93,79
"171";"pcrparin";68;"santander";68217;"coromoro";"2005";86,54
"172";"pcrparin";5;"antioquia";5284;"frontino";"2005";86,47
"173";"ttdiesti";19;"cauca";19743;"silvia";"2005";29,03
"174";"pcrparin";23;"cordoba";23660;"sahagun";"2005";99,04
"175";"pcrparin";86;"putumayo";86755;"san francisco";"2005";95,79
"176";"pcrparin";76;"valle del cauca";76828;"trujillo";"2005";100
